Product,Company,Filename,Status
Acadian GoldStar - 1 KG,Acadian Seaplants India Private Limited,Acadian_GoldStar_1_KG.jpg,Already exists
Acadian GoldStar - 300 GM,Acadian Seaplants India Private Limited,Acadian_GoldStar_300_GM.jpg,Already exists
Stimplex - Seaweed - 1 Ltr,Acadian Seaplants India Private Limited,Stimplex_Seaweed_1_Ltr.jpg,Already exists
Stimplex - Seaweed - 5 Ltr,Acadian Seaplants India Private Limited,Stimplex_Seaweed_5_Ltr.jpg,Already exists
Adaphon - Ethephon 39% SL - 1 Ltr,Adama India Pvt Ltd,Adaphon_Ethephon_39_SL_1_Ltr.jpg,Already exists
Adaphon - Ethephon 39% SL - 500 Ml,Adama India Pvt Ltd,Adaphon_Ethephon_39_SL_500_Ml.jpg,Already exists
Agadi - Fipronil 5% SC - 1 Ltr,Adama India Pvt Ltd,Agadi_Fipronil_5_SC_1_Ltr.jpg,Already exists
Agadi - Fipronil 5% SC - 500 Ml,Adama India Pvt Ltd,Agadi_Fipronil_5_SC_500_Ml.jpg,Already exists
Bipiman - Buprofezin 25% SC - 1 Ltr,Adama India Pvt Ltd,Bipiman_Buprofezin_25_SC_1_Ltr.jpg,Already exists
Bipiman - Buprofezin 25% SC - 500 Ml,Adama India Pvt Ltd,Bipiman_Buprofezin_25_SC_500_Ml.jpg,Already exists
Custiodia - Azoxy11% +Tebu18.3% - 1 Ltr,Adama India Pvt Ltd,Custiodia_Azoxy11_Tebu183_1_Ltr.jpg,Already exists
Custiodia - Azoxy11% +Tebu18.3% - 500 Ml,Adama India Pvt Ltd,Custiodia_Azoxy11_Tebu183_500_Ml.jpg,Already exists
Custodia - Azoxy11%+Tebu 18.3% - 250 Ml,Adama India Pvt Ltd,Custodia_Azoxy11Tebu_183_250_Ml.jpg,Already exists
Glyphogan-1 Ltr Glypho 41% Sl Adama,Adama India Pvt Ltd,Glyphogan_1_Ltr_Glypho_41_Sl_Adama.jpg,Already exists
Glyphogan-5 Ltr Glypho 41% Sl Adama,Adama India Pvt Ltd,Glyphogan_5_Ltr_Glypho_41_Sl_Adama.jpg,Already exists
Mastercop -CuSulphate Pent 23.99%- 1 Ltr,Adama India Pvt Ltd,Mastercop_CuSulphate_Pent_2399_1_Ltr.jpg,Already exists
Mastercop -CuSulphate Pent 23.99%- 5 Ltr,Adama India Pvt Ltd,Mastercop_CuSulphate_Pent_2399_5_Ltr.jpg,Already exists
Mastercop -CuSulphate Pent23.99%- 400 Ml,Adama India Pvt Ltd,Mastercop_CuSulphate_Pent2399_400_Ml.jpg,Already exists
Mirador - Azoxystrobin 23% SC - 1 Ltr,Adama India Pvt Ltd,Mirador_Azoxystrobin_23_SC_1_Ltr.jpg,Already exists
Mirador - Azoxystrobin 23% SC - 200 Ml,Adama India Pvt Ltd,Mirador_Azoxystrobin_23_SC_200_Ml.jpg,Already exists
Mirador - Azoxystrobin 23% SC - 500 Ml,Adama India Pvt Ltd,Mirador_Azoxystrobin_23_SC_500_Ml.jpg,Already exists
Nimrod - Bupirimate 26.7% EC - 1 Ltr,Adama India Pvt Ltd,Nimrod_Bupirimate_267_EC_1_Ltr.jpg,Already exists
